Ticker,Name,Sector,Industry,MarketCap,PreviousClose,Status
INDY,Indika Energy Tbk,Energy,Thermal Coal,18365502455808,3720.0,Success
INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials,Paper & Paper Products,53205312471040,9675.0,Success
INPC,Bank Artha Graha Internasional ,Financial Services,Banks - Regional,3175075807232,160.0,Success
INRU,Toba Pulp Lestari Tbk.,Basic Materials,Paper & Paper Products,819441172480,590.0,Success
INDS,Indospring Tbk,Consumer Cyclical,Auto Parts,2401873952768,380.0,Success
INTD,Inter Delta Tbk,Basic Materials,Paper & Paper Products,143222374400,250.0,Success
ISAT,Indosat Tbk,Communication Services,Telecom Services,64501621719040,1985.0,Success
INPP,Indonesian Paradise Property Tb,Real Estate,Real Estate Services,8945576968192,800.0,Success
INTA,Intraco Penta Tbk,Industrials,Industrial Distribution,244107247616,78.0,Success
ITMA,Sumber Energi Andalan Tbk.,Basic Materials,Other Industrial Metals & Mining,1948153675776,1970.0,Success
INTP,Indocement Tunggal Prakarsa Tbk,Basic Materials,Building Materials,17269201567744,5200.0,Success
INCO,Vale Indonesia Tbk.,Basic Materials,Other Industrial Metals & Mining,71407035744256,6825.0,Success
ISSP,Steel Pipe Industry of Indonesi,Basic Materials,Steel,3116753485824,456.0,Success
JECC,Jembo Cable Company Tbk,Industrials,Electrical Equipment & Parts,721980030976,965.0,Success
JAWA,Jaya Agra Wattie Tbk.,Consumer Defensive,Farm Products,2743368941568,176.0,Success
JIHD,Jakarta International  Hotels &,Consumer Cyclical,Lodging,1187810639872,520.0,Success
ITMG,Indo Tambangraya Megah Tbk,Energy,Thermal Coal,29305356681216,26200.0,Success
JSMR,Jasa Marga (Persero) Tbk,Industrials,Infrastructure Operations,21991350337536,3140.0,Success
JTPE,Jasuindo Tiga Perkasa Tbk,Industrials,Specialty Business Services,4240645029888,645.0,Success
KAEF,Kimia Farma Tbk.,Healthcare,Medical Distribution,2649696501760,480.0,Success
JKON,Jaya Konstruksi Manggala Pratam,Industrials,Conglomerates,1239447502848,77.0,Success
KARW,Meratus Jasa Prima Tbk.,Industrials,Marine Shipping,176145809408,300.0,Success
JRPT,Jaya Real Property Tbk,Real Estate,Real Estate - Development,13997682196480,1095.0,Success
KBLI,KMI Wire & Cable Tbk.,Industrials,Electrical Equipment & Parts,1306358579200,324.0,Success
JPFA,Japfa Comfeed Indonesia Tbk.,Consumer Defensive,Farm Products,28487790362624,2440.0,Success
KBLM,Kabelindo Murni Tbk,Industrials,Electrical Equipment & Parts,365119995904,328.0,Success
KBRI,"KBRI.JK,0P0000JDAP,0",N/A,N/A,434400002048,0,Success
JSPT,Jakarta Setiabudi Internasional,Real Estate,Real Estate Services,3246230339584,1430.0,Success
KBLV,First Media Tbk.,Communication Services,Entertainment,203833655296,122.0,Success
